                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42047,                 4.1692,                0.92298,                0.53031,                0.35366,                 0.2667,                0.25008,                0.31617,                 3.0206,                0.86166,              0.0033251,              0.0033251,              0.0033251
                      2,                0.43216,                 2.8758,                0.91384,                0.62866,                0.76895,                0.86945,                0.82238,                0.36279,                 1.4495,                0.93775,              0.0065926,              0.0065926,              0.0065926
                      3,                0.46019,                 2.0178,                0.91321,                0.77317,                0.84146,                 0.8787,                0.83295,                0.35129,                 1.2063,                0.93982,               0.009794,               0.009794,               0.009794
                      4,                0.45014,                 1.6058,                0.90131,                0.87869,                0.92683,                0.98836,                  0.949,                 0.3072,                0.75406,                0.87547,               0.009703,               0.009703,               0.009703
                      5,                0.40349,                  1.277,                 0.8845,                0.90996,                0.97561,                  0.995,                0.97226,                0.26742,                0.44851,                0.86699,               0.009604,               0.009604,               0.009604
                      6,                0.37146,                 1.0443,                0.87159,                0.96534,                 0.9878,                0.98915,                0.97221,                0.25906,                0.36414,                0.85831,               0.009505,               0.009505,               0.009505
                      7,                0.35304,                0.86884,                0.86774,                0.98465,                      1,                  0.995,                0.97913,                0.25163,                 0.2959,                0.85304,               0.009406,               0.009406,               0.009406
                      8,                 0.3369,                 0.7359,                0.86179,                0.96291,                      1,                  0.995,                0.97917,                0.25336,                0.33329,                0.83473,               0.009307,               0.009307,               0.009307
                      9,                0.32351,                0.64542,                0.86029,                0.98361,                      1,                  0.995,                0.97877,                0.23786,                0.25891,                0.83419,               0.009208,               0.009208,               0.009208
                     10,                 0.3113,                0.57949,                0.85661,                0.99089,                      1,                  0.995,                0.98866,                0.21868,                 0.2092,                0.82598,               0.009109,               0.009109,               0.009109
                     11,                0.30548,                 0.5175,                0.85393,                0.98938,                      1,                  0.995,                0.98654,                0.22781,                0.22935,                0.83443,                0.00901,                0.00901,                0.00901
                     12,                0.29566,                0.48307,                0.85023,                0.97658,                      1,                  0.995,                0.98548,                0.22673,                0.23693,                0.82679,               0.008911,               0.008911,               0.008911
                     13,                0.29331,                0.44529,                0.85198,                0.98844,                      1,                  0.995,                0.98913,                0.21187,                  0.195,                0.82247,               0.008812,               0.008812,               0.008812
                     14,                0.28585,                0.42531,                 0.8523,                0.98777,                      1,                  0.995,                0.98044,                0.24419,                0.20587,                0.82383,               0.008713,               0.008713,               0.008713
                     15,                0.28124,                0.39918,                0.84859,                0.99234,                      1,                  0.995,                0.98971,                 0.2066,                0.16766,                0.82602,               0.008614,               0.008614,               0.008614
                     16,                0.27707,                0.38896,                0.84842,                0.98133,                      1,                  0.995,                0.98952,                0.20409,                0.19256,                0.82265,               0.008515,               0.008515,               0.008515
                     17,                0.27113,                0.37494,                0.84705,                0.98304,                      1,                  0.995,                0.98883,                0.19545,                0.17347,                   0.82,               0.008416,               0.008416,               0.008416
                     18,                0.27044,                0.36489,                0.84453,                0.99364,                      1,                  0.995,                0.99022,                0.20212,                0.17621,                0.82207,               0.008317,               0.008317,               0.008317
                     19,                0.26478,                0.35918,                0.84422,                0.98075,                      1,                  0.995,                0.99216,                0.19504,                0.16212,                0.82161,               0.008218,               0.008218,               0.008218
                     20,                0.26364,                0.34532,                0.84543,                0.99404,                      1,                  0.995,                0.99165,                 0.1963,                0.16705,                0.81937,               0.008119,               0.008119,               0.008119
                     21,                0.26056,                0.33117,                0.84468,                0.99446,                      1,                  0.995,                0.98942,                0.19738,                0.16549,                0.81866,                0.00802,                0.00802,                0.00802
                     22,                0.25977,                0.31685,                0.84363,                0.99496,                      1,                  0.995,                0.98984,                0.20657,                0.19362,                0.81622,               0.007921,               0.007921,               0.007921
                     23,                0.25658,                0.31063,                0.84291,                0.99455,                      1,                  0.995,                0.98686,                0.20584,                0.15216,                0.82921,               0.007822,               0.007822,               0.007822
                     24,                0.25571,                0.29892,                0.84277,                0.99268,                      1,                  0.995,                  0.992,                0.20496,                 0.1612,                0.81423,               0.007723,               0.007723,               0.007723
                     25,                0.24937,                0.30655,                0.84239,                0.99673,                      1,                  0.995,                0.99135,                0.19429,                0.14753,                0.81502,               0.007624,               0.007624,               0.007624
                     26,                0.24578,                0.30018,                0.84323,                0.99705,                      1,                  0.995,                0.99139,                0.18891,                  0.142,                0.81939,               0.007525,               0.007525,               0.007525
